1FF963 PushFlags
1FFA00 CopyImmediateToAccumulator 43
1FFA02 CopyAccumulatorToAbsoluteLongAddress 7E45F5
1FFA06 CopyImmediateToAccumulator 3A
1FFA08 CopyAccumulatorToAbsoluteLongAddress 7E45F7
1FFA0C ClearImmediateFlags 20
1FFA0E CopyImmediateToAccumulator 0000
1FFA11 CopyAccumulatorToAbsoluteLongAddress 70021C
1FFA15 CopyImmediateToAccumulator 0040
1FFA18 CopyAccumulatorToAbsoluteLongAddress 700034
1FFA1C CopyImmediateToAccumulator 0030
1FFA1F CopyAccumulatorToAbsoluteLongAddress 700036
1FFA23 SetImmediateFlags 20
1FFA25 CopyImmediateToAccumulator 01
1FFA27 CopyAccumulatorToAbsoluteAddress 1F0D
1FFA2A SetAbsoluteAddressToZero 15BB
1FFA2D SetAbsoluteAddressToZero 15BC
1FFA30 SetAbsoluteAddressToZero 1202
1FFA33 SetAbsoluteAddressToZero 1201
1FFA36 CopyAbsoluteAddressToAccumulator 1FDF
1FFA39 BranchToRelativeIfZero 1FFA3E
1FFA3B JumpToRelativeLong 1FFA95
1FFA3E CopyAbsoluteLongAddressToAccumulator 7EA05A
1FFA42 BranchToRelativeIfZero 1FFA47
1FFA44 JumpToRelativeLong 1FFA95
1FFA47 SetImmediateFlags 20
1FFA49 CopyAbsoluteAddressToAccumulator 14D6
1FFA4C AndAccumulatorWithImmediate 1F
1FFA4E CopyAccumulatorToAbsoluteAddress 14D6
1FFA51 CallAbsoluteLongAddress 02FD84
1FFA55 ClearImmediateFlags 20
1FFA57 SetAbsoluteAddressToZero 15AF
1FFA5A CallAbsoluteLongAddress 03DBD0
1FFA5E CallAbsoluteAddress 1FFD54
1FFA61 SetImmediateFlags 20
1FFA63 CopyAbsoluteAddressToAccumulator 120A
1FFA66 TestAndAccumulatorWithImmediate 20
1FFA68 BranchToRelativeIfZero 1FFA79
1FFA6A CopyAbsoluteAddressToAccumulator 1F0F
1FFA6D IncrementAccumulator
1FFA6E AndAccumulatorWithImmediate 03
1FFA70 CopyAccumulatorToAbsoluteAddress 1F0F
1FFA73 CopyImmediateToAccumulator 11
1FFA75 CallAbsoluteLongAddress 03B7F9
1FFA79 CallAbsoluteAddress 1FFDAC
1FFA7C ClearImmediateFlags 20
1FFA7E CopyAbsoluteAddressToAccumulator 15BB
1FFA81 TestSubtractImmediateFromAccumulator 0010
1FFA84 BranchToRelativeIfLessThan 1FFA51
1FFA86 SetImmediateFlags 20
1FFA88 CopyAbsoluteAddressToAccumulator 120A
1FFA8B TestAndAccumulatorWithImmediate 10
1FFA8D BranchToRelativeIfZero 1FFA51
1FFA8F CopyImmediateToAccumulator 10
1FFA91 CallAbsoluteLongAddress 03B7F9
1FFA95 SetImmediateFlags 20
1FFA97 CopyAbsoluteLongAddressToAccumulator 004211
1FFA9B ClearInterruptDisableFlag
1FFA9C CallAbsoluteLongAddress 02FD84
1FFAA0 CallAbsoluteAddress 1FFBFF
1FFAA3 CallAbsoluteAddress 1FFD54
1FFAA6 CallAbsoluteAddress 1FFDAC
1FFAA9 SetImmediateFlags 20
1FFAAB CopyAbsoluteAddressToAccumulator 14D6
1FFAAE OrAccumulatorWithImmediate 60
1FFAB0 CopyAccumulatorToAbsoluteAddress 14D6
1FFAB3 CopyAbsoluteAddressToAccumulator 120A
1FFAB6 TestAndAccumulatorWithImmediate 20
1FFAB8 BranchToRelativeIfZero 1FFACA
1FFABA CopyAbsoluteLongAddressToAccumulator 7EA05A
1FFABE ExclusiveOrAccumulatorWithImmediate 01
1FFAC0 CopyAccumulatorToAbsoluteLongAddress 7EA05A
1FFAC4 CopyImmediateToAccumulator 11
1FFAC6 CallAbsoluteLongAddress 03B7F9
1FFACA CopyAbsoluteLongAddressToAccumulator 7EA05A
1FFACE BranchToRelativeIfZero 1FFAE3
1FFAD0 CopyAbsoluteAddressToAccumulator 120A
1FFAD3 TestAndAccumulatorWithImmediate 08
1FFAD5 BranchToRelativeIfZero 1FFAE3
1FFAD7 CopyImmediateToAccumulator 00
1FFAD9 CopyAccumulatorToAbsoluteLongAddress 7EA05A
1FFADD CopyImmediateToAccumulator 11
1FFADF CallAbsoluteLongAddress 03B7F9
1FFAE3 CopyAbsoluteLongAddressToAccumulator 7EA05A
1FFAE7 BranchToRelativeIfNotZero 1FFAFC
1FFAE9 CopyAbsoluteAddressToAccumulator 120A
1FFAEC TestAndAccumulatorWithImmediate 04
1FFAEE BranchToRelativeIfZero 1FFAFC
1FFAF0 CopyImmediateToAccumulator 01
1FFAF2 CopyAccumulatorToAbsoluteLongAddress 7EA05A
1FFAF6 CopyImmediateToAccumulator 11
1FFAF8 CallAbsoluteLongAddress 03B7F9
1FFAFC CopyAbsoluteAddressToAccumulator 1209
1FFAFF TestAndAccumulatorWithImmediate 40
1FFB01 BranchToRelativeIfZero 1FFB06
1FFB03 JumpToRelativeLong 1FFA47
1FFB06 CopyAbsoluteAddressToAccumulator 120A
1FFB09 TestAndAccumulatorWithImmediate 40
1FFB0B BranchToRelativeIfZero 1FFB10
1FFB0D JumpToRelativeLong 1FFA47
1FFB10 CopyAbsoluteAddressToAccumulator 1209
1FFB13 TestAndAccumulatorWithImmediate 80
1FFB15 BranchToRelativeIfNotZero 1FFB28
1FFB17 CopyAbsoluteAddressToAccumulator 120A
1FFB1A TestAndAccumulatorWithImmediate 80
1FFB1C BranchToRelativeIfNotZero 1FFB28
1FFB1E CopyAbsoluteAddressToAccumulator 120A
1FFB21 TestAndAccumulatorWithImmediate 10
1FFB23 BranchToRelativeIfNotZero 1FFB28
1FFB25 JumpToRelativeLong 1FFA9C
1FFB28 SetImmediateFlags 20
1FFB2A CopyImmediateToAccumulator 10
1FFB2C CallAbsoluteLongAddress 03B7F9
1FFB30 CopyImmediateToAccumulator F1
1FFB32 CopyAccumulatorToAbsoluteAddress 1F47
1FFB35 SetAbsoluteAddressToZero 1F46
1FFB38 CopyImmediateToAccumulator FF
1FFB3A CopyAccumulatorToAbsoluteAddress 18B2
1FFB3D CallAbsoluteLongAddress 02FD84
1FFB41 CallAbsoluteAddress 1FFBFF
1FFB44 CallAbsoluteAddress 1FFD54
1FFB47 SetImmediateFlags 20
1FFB49 CopyAbsoluteAddressToAccumulator 18B2
1FFB4C AndAccumulatorWithImmediate FF
1FFB4E BranchToRelativeIfNotZero 1FFB3D
1FFB50 SetAbsoluteAddressToZero 1F0D
1FFB53 CopyAbsoluteLongAddressToAccumulator 7EA05A
1FFB57 BranchToRelativeIfZero 1FFB5C
1FFB59 JumpToRelativeLong 1FFBFD
1FFB5C CallAbsoluteLongAddress 02E266
1FFB60 SetImmediateFlags 20
1FFB62 ClearImmediateFlags 10
1FFB64 CopyImmediateToAccumulator 0D
1FFB66 CopyImmediateToXIndex 6DC0
1FFB69 CopyAccumulatorToAbsoluteAddress 1FF4
1FFB6C CopyXIndexToAbsoluteAddress 16FD
1FFB6F CallAbsoluteLongAddress 02E2CC
1FFB73 SetImmediateFlags 20
1FFB75 CopyImmediateToAccumulator 01
1FFB77 CopyAccumulatorToAbsoluteAddress 16EC
1FFB7A SetAbsoluteAddressToZero 15BB
1FFB7D SetAbsoluteAddressToZero 15BC
1FFB80 CallAbsoluteLongAddress 02FD84
1FFB84 CallAbsoluteLongAddress 02D956
1FFB88 CallAbsoluteLongAddress 03EA26
1FFB8C ClearImmediateFlags 20
1FFB8E CopyAbsoluteAddressToAccumulator 15BB
1FFB91 TestSubtractImmediateFromAccumulator 0014
1FFB94 BranchToRelativeIfLessThan 1FFB80
1FFB96 SetImmediateFlags 20
1FFB98 CopyAbsoluteAddressToAccumulator 1FD2
1FFB9B TestSubtractImmediateFromAccumulator 0A
1FFB9D BranchToRelativeIfZero 1FFBE5
1FFB9F CopyAbsoluteAddressToAccumulator 14D1
1FFBA2 AndAccumulatorWithImmediate 08
1FFBA4 BranchToRelativeIfZero 1FFBAD
1FFBA6 CopyAbsoluteAddressToAccumulator 14D7
1FFBA9 TestAndAccumulatorWithImmediate 80
1FFBAB BranchToRelativeIfNotZero 1FFB80
1FFBAD CopyAbsoluteAddressToAccumulator 120A
1FFBB0 TestAndAccumulatorWithImmediate 10
1FFBB2 BranchToRelativeIfZero 1FFB80
1FFBB4 SetImmediateFlags 20
1FFBB6 CopyImmediateToAccumulator F1
1FFBB8 CopyAccumulatorToAbsoluteAddress 1F47
1FFBBB SetAbsoluteAddressToZero 1F46
1FFBBE CopyImmediateToAccumulator FF
1FFBC0 CopyAccumulatorToAbsoluteAddress 18B2
1FFBC3 CallAbsoluteLongAddress 02FD84
1FFBC7 CallAbsoluteLongAddress 02D956
1FFBCB SetImmediateFlags 20
1FFBCD CopyAbsoluteAddressToAccumulator 18B2
1FFBD0 AndAccumulatorWithImmediate FF
1FFBD2 BranchToRelativeIfNotZero 1FFBC3
1FFBD4 CallAbsoluteLongAddress 02E266
1FFBD8 SetImmediateFlags 20
1FFBDA CopyImmediateToAccumulator 01
1FFBDC CopyAccumulatorToAbsoluteLongAddress 7EA05A
1FFBE0 CopyAccumulatorToAbsoluteAddress 1FDF
1FFBE3 JumpToRelative 1FFBF6
1FFBE5 CallAbsoluteLongAddress 02E266
1FFBE9 SetImmediateFlags 20
1FFBEB CopyImmediateToAccumulator 00
1FFBED CopyAccumulatorToAbsoluteLongAddress 7EA05A
1FFBF1 CopyImmediateToAccumulator 01
1FFBF3 CopyAccumulatorToAbsoluteAddress 1FDF
1FFBF6 SetAbsoluteAddressToZero 1FD2
1FFBF9 PullFlags
1FFBFA JumpToAbsoluteAddress 1FF963 [1FF963]
